parent,name,slug
1,Threading Machines,Threading Machines
1,Tool Clamps & Vices,Tool Clamps & Vices
1,Tool Files,Tool Files
1,Tool Keys,Tool Keys
1,Tool Knives,Tool Knives
1,Toolsets,Toolsets
1,Toolsets,Toolsets
1,Toolsets,Toolsets
1,Torches & Headlamps,Torches & Headlamps
1,Torches & Headlamps,Torches & Headlamps
1,Torches & Headlamps,Torches & Headlamps
1,Welding Guns & Plasma Cutters,Welding Guns & Plasma Cutters
1,Wire & Cable Hand Tools,Wire & Cable Hand Tools
1,Work Lights,Work Lights
